"dado";"grupo";"tecido";"semana";"elemento";"agrupamento";"item";"nbr.val";"nbr.null";"nbr.na";"min";"max";"range";"sum";"median";"mean";"SE.mean";"CI.mean.0.95";"var";"std.dev";"coef.var"
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tf";"P";61907;0;0;0,000456608;83692,9;83692,899543392;774571461,667898;2045,64;12511,8558752306;59,6950495022109;117,002434670052;220605528,573466;14852,7953117743;1,18709769836608
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tf";"S";61907;0;0;0,00728526;62676,2;62676,19271474;554512683,065808;2080,47;8957,18873577799;41,3241170390926;80,9953646823754;105717509,755396;10281,9020494944;1,14789387081072
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tf";"K";61907;0;0;0,000577196;124602;124601,999422804;662053638,488859;7287,46;10694,3259807269;41,165617840069;80,6847058868193;104908103,161015;10242,4656778051;0,957747659484465
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tf";"Ca";61907;0;0;0,000785905;681540;681539,999214095;13719186,2453595;58,0997;221,609611923683;16,6963837245857;32,7249505989539;17257766,6893323;4154,24682575943;18,7457880987132
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tf";"Mn";61907;0;0;0,000402158;13348;13347,999597842;1056438,4523339;10,155;17,0649272672542;0,283507429549102;0,55567521563182;4975,86567076874;70,5398162087819;4,13361364534736
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tf";"Fe";61907;0;0;0,000453571;220318;220317,999546429;21988919,4978411;201,614;355,192781072271;6,80574151315731;13,3392690585667;2867415,70279101;1693,34453162698;4,76739568443661
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tf";"Cu";61907;0;0;0,00125724;27663,6;27663,59874276;3185078,10371422;39,1515;51,4494015816341;0,565234488573716;1,10786090093044;19778,66910602;140,63665633831;2,73349450168364
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tf";"Zn";61907;0;0;0,00127873;35153,1;35153,09872127;16509380,5851422;221,609;266,680352547244;1,53791398874295;3,01431496408077;146421,163392198;382,650184100567;1,43486455018383
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tp";"P";7456;0;0;0,00340528;5957,14;5957,13659472;2940094,03610888;107,265;394,325916860097;6,61221545598181;12,9618085745758;325986,707970037;570,952456838603;1,44792019095507
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tp";"S";7456;0;0;1,41074;10782,7;10781,28926;5474076,51985;207,3455;734,184082597908;10,6022142474074;20,783332372694;838106,19644375;915,481401473427;1,24693714175061
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tp";"K";7456;0;0;1,82078;93011,6;93009,77922;34993092,83167;2426,145;4693,27961798149;73,1214878018377;143,33875444397;39865382,7506097;6313,90392313739;1,34530742616459
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tp";"Ca";7456;0;0;3,49738e-05;215132;215131,999965026;3113825,06414321;96,31265;417,62675216513;42,5208436006128;83,352854856237;13480613,0796259;3671,59544062604;8,79157147283105
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tp";"Mn";7456;0;0;0,00600788;1871,89;1871,88399212;205654,25233195;22,54445;27,5823836282122;0,376333459897913;0,737719800553632;1055,9699653768;32,495691489439;1,17813209791634
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tp";"Fe";7456;0;0;0,0383424;201901;201900,9616576;8030751,3890571;177,6655;1077,0857549701;52,7331167982831;103,371792711585;20733507,6637408;4553,40616063851;4,22752426130164
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tp";"Cu";7456;0;0;0,0121166;21492,8;21492,7878834;504473,8480697;49,6453;67,6601191080606;3,01603275953599;5,9122754762005;67823,1580907671;260,428796585107;3,84907387125899
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tp";"Zn";7456;0;0;0,00836681;11411,6;11411,59163319;1171700,30198899;31,258;157,14864565303;4,13156436393394;8,09903227675437;127272,60843986;356,752867458497;2,27016189656624
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tt";"P";48006;0;0;0,00669052;144671;144670,99330948;654447922,468799;2521,28;13632,627639645;75,6179573195371;148,212209848825;274501930,973423;16568,0997997182;1,2153269521964
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tt";"S";48006;0;0;0,0174487;61604,9;61604,8825513;253232253,103024;1455,27;5275,01256307595;27,7522670835299;54,3948154455376;36973660,8871972;6080,59708311587;1,15271708084239
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tt";"K";48006;0;0;0,0048724;149000;148999,9951276;491924081,280899;5182,485;10247,1374678352;51,9942989695628;101,909522856529;129779762,458894;11392,0921019317;1,111734095272
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tt";"Ca";48006;0;0;0,000503959;195925;195924,999496041;16621536,7265945;124,884;346,238735295474;9,9862608659508;19,5732051424643;4787417,84441188;2188,01687480053;6,31938790133726
